YMD,REGION_ID,BEGIN_WEATHER,END_WEATHER,WIND_VELOCITY,RAIN_PROBABILITY,HIGH_TEMP,LOW_TEMP,MAX_VALUE,MIN_VALUE,AVG_VALUE,FAULT_COUNT_TOTAL
20150123,2,5,5,4,10,2,10,2894232910.000000,1663241940.000000,2396764252.118056,318
20150124,2,5,4,2,30,6,15,2629887940.000000,1616010990.000000,2138836177.013889,287
20150125,2,4,4,4,90,10,16,2566278080.000000,1436256960.000000,2044268893.263889,274
20150126,2,4,4,2,70,7,11,2767247070.000000,1420484010.000000,2254308284.687500,289
20150127,2,4,0,2,70,4,7,3177836910.000000,1534036010.000000,2484370846.875000,371
20150128,2,0,4,2,80,3,5,3413488040.000000,1723212040.000000,2646932445.069444,429
20150129,2,2,0,4,90,3,6,3262062010.000000,1722462040.000000,2659841997.256944,436
20150130,2,0,0,2,70,2,6,3322284910.000000,1743553960.000000,2691254072.465278,468
20150131,2,5,4,2,40,2,6,3227408940.000000,1805092040.000000,2522303619.131944,487
20150201,2,4,4,4,60,3,7,3239176030.000000,1697761960.000000,2521883802.604167,463
20150202,2,4,4,4,60,4,7,3176694090.000000,1726583010.000000,2614987316.979167,430
20150203,2,4,4,4,60,5,8,3075208010.000000,1715655030.000000,2572189485.034722,402
20150204,2,5,6,2,30,4,9,3012687990.000000,1665550050.000000,2451481972.456140,390
20150205,2,5,5,2,20,2,7,3192762940.000000,1677693970.000000,2514891941.250000,381
20150206,2,5,5,4,20,1,8,2951381100.000000,1684583010.000000,2427387545.972222,362
20150207,2,5,5,4,30,3,11,2747499020.000000,1609764040.000000,2204220364.930556,354
20150208,2,5,6,2,20,2,4,3177718020.000000,1551022950.000000,2269122773.090278,384
20150209,2,5,5,4,10,-1,5,3053618900.000000,1447024050.000000,2369787555.381944,469
20150210,2,5,5,4,10,0,10,2900781980.000000,1583932980.000000,2304504539.895833,354
20150211,2,5,5,4,10,3,15,2623740970.000000,1580370000.000000,2167524939.236111,294
20150212,2,5,5,4,10,6,13,2530420900.000000,1435564940.000000,2057418770.520833,326
20150213,2,5,5,4,20,5,13,2357763920.000000,1416157960.000000,1973809535.069444,280
20150214,2,5,4,2,60,6,17,2059427980.000000,1411748050.000000,1726851599.409722,250
20150215,2,4,4,4,90,12,17,1980396970.000000,1191740970.000000,1651955032.062937,223
20150216,2,4,5,2,40,12,16,1941456050.000000,1115229000.000000,1595781401.666667,224
20150217,2,5,5,4,20,6,14,1844750000.000000,1126156010.000000,1512819934.599303,191
20150218,2,5,5,2,20,5,12,1878182980.000000,1071569950.000000,1452589721.944444,211
20150219,2,6,5,4,20,4,11,1770286990.000000,1097317020.000000,1426394411.770833,158
20150220,2,4,4,2,80,5,12,1773859990.000000,1089911990.000000,1439777460.729167,180
20150221,2,4,4,4,90,9,11,1744495000.000000,1028883060.000000,1421697330.972222,170
20150222,2,4,4,4,70,7,9,1858816040.000000,1031427000.000000,1461206818.923611,154
20150223,2,4,4,4,60,3,10,1945396970.000000,1115465940.000000,1517584070.625000,193
20150224,2,4,4,4,80,6,11,2192166020.000000,1162350950.000000,1628470967.881944,227
20150225,2,4,2,4,90,7,10,2328281010.000000,1213412960.000000,1855794537.048611,388
20150226,2,4,4,2,60,8,11,2384321040.000000,1213480960.000000,1937112271.493056,278
20150227,2,4,2,2,90,3,7,2628577880.000000,1260657960.000000,2107749221.215278,295
20150228,2,4,4,2,90,4,7,2719761960.000000,1445123050.000000,2198145399.305556,340
20150301,2,5,5,2,30,3,9,2590931880.000000,1411576050.000000,1999327576.388889,336
20150302,2,5,4,4,60,3,12,2608552000.000000,1421729980.000000,2115271931.111111,279
20150303,2,5,4,2,40,8,13,2711458980.000000,1412639040.000000,2117358289.097222,284
20150304,2,4,0,4,60,3,7,2868693120.000000,1470311040.000000,2269124752.847222,310
20150305,2,0,0,4,90,4,6,2889563960.000000,1533261960.000000,2358112742.083333,327
20150306,2,4,4,4,60,4,9,2774775880.000000,1504803960.000000,2281660566.562500,308
20150307,2,4,4,4,30,6,10,2586872070.000000,1564213010.000000,2071620468.506944,300
20150308,2,4,4,4,60,7,11,2655492920.000000,1434003050.000000,2061552177.500000,359
20150309,2,4,4,2,40,5,11,2814391110.000000,1401459960.000000,2239156494.652778,321
20150310,2,5,5,2,20,2,7,2883480960.000000,1559029050.000000,2310150873.020833,352
20150311,2,6,5,4,20,3,11,2817743900.000000,1586423950.000000,2282182789.201389,315
20150312,2,5,5,4,20,5,16,2576297120.000000,1539953000.000000,2113268967.152778,291
20150313,2,5,5,4,20,7,20,2319114990.000000,1412931030.000000,1939759324.131944,297
20150314,2,5,4,4,80,10,15,2361819090.000000,1324813960.000000,1906308731.354167,276
20150315,2,4,4,4,90,10,13,2336387940.000000,1347663940.000000,1859449210.347222,301
20150316,2,4,4,4,60,11,15,2408370120.000000,1313291020.000000,1949560183.194444,313
